# False killer whale sightings
# Session ID Occasion Detector
2022 Bp301 15 1658
2023 Bp301 12 1729
2023 Bp301 13 1220
2024 Bp302 16 1223
2024 Bp303 20 1651
2022 Bp305 15 1726
2024 Bp307 19 1289
2024 Bp308 22 1366
2024 Bp309 26 996
2022 Bp310 10 1430
2023 Bp310 35 1371
2022 Bp311 16 1872
2023 Bp312 12 1729
2023 Bp313 14 1725
2024 Bp314 16 1287
2024 Bp315 18 1157
2022 Bp319 09 1434
2022 Bp320 15 1581
2022 Bp321 15 1581
2022 Bp322 15 1581
2022 Bp323 15 925
2022 Bp324 15 1586
2022 Bp325 15 1658
2022 Bp326 16 1658
2022 Bp327 16 1294
2022 Bp327 16 1872
2022 Bp328 16 1872
2022 Bp329 18 1299
2022 Bp330 18 1158
2022 Bp331 47 1139
2022 Bp332 47 1139
2023 Bp333 08 1152
2023 Bp334 11 1723
2023 Bp335 12 1513
2023 Bp336 12 1513
2023 Bp338 13 1511
2023 Bp339 33 1435
2023 Bp340 34 1004
2023 Bp341 51 1365
2024 Bp342 16 1436
2024 Bp342 16 1362
2024 Bp343 17 1362
2024 Bp344 17 1871
2024 Bp345 18 1658
2024 Bp346 18 1726
2024 Bp347 19 1881
2024 Bp347 19 1361
2024 Bp348 21 1434
2024 Bp349 22 1363
2024 Bp350 22 1727
2024 Bp351 22 1369
2024 Bp352 22 1511
2024 Bp352 22 1366
2022 Bp354 22 1657
2023 Bp355 32 1502
2024 Bp356 12 1216
2024 Bp357 18 1584
2024 Bp358 19 1881
2024 Bp359 20 1441
2024 Bp360 22 1584
2024 Bp361 22 1436
2024 Bp362 22 1436
2024 Bp363 22 1436
2022 Bp364 15 1366
2022 Bp365 15 1658
2022 Bp367 16 1872
2022 Bp368 23 1579
2024 Bp369 12 1070
2024 Bp370 16 1362
2024 Bp371 16 1436
2024 Bp372 18 1734
2024 Bp373 18 1366
2024 Bp375 19 1657
2024 Bp377 29 1655
2022 Bp378 16 1658
2024 Bp379 16 1436
2024 Bp380 16 1579
2024 Bp381 19 1581
2024 Bp382 19 1443
2024 Bp383 19 1292
2024 Bp384 19 1866
2024 Bp385 22 1222
2024 Bp385 22 1726
